,instrumentalness,valence,total_words,duration_min,key_0,key_6,key_10,key_11,mode_minor,mode_major,class
64,0.0,0.594,308,3.39,0.0,0.0,1.0,0.0,0.0,1.0,0
65,0.0,0.363,331,4.29,0.0,0.0,0.0,0.0,0.0,1.0,0
66,1.89e-05,0.437,350,3.57,0.0,1.0,0.0,0.0,1.0,0.0,0
67,0.000377,0.632,267,3.86,0.0,1.0,0.0,0.0,1.0,0.0,0
68,0.0,0.593,260,3.57,0.0,0.0,0.0,0.0,0.0,1.0,0
69,2.74e-06,0.535,363,3.91,0.0,0.0,0.0,0.0,1.0,0.0,0
70,0.0,0.774,341,3.31,0.0,0.0,0.0,0.0,1.0,0.0,0
71,0.000164,0.346,385,4.59,0.0,0.0,0.0,0.0,0.0,1.0,0
72,1.39e-06,0.468,404,4.85,0.0,0.0,0.0,0.0,0.0,1.0,0
73,5.36e-06,0.794,285,3.2,0.0,0.0,0.0,1.0,1.0,0.0,0
74,3.98e-06,0.705,441,3.73,0.0,0.0,0.0,0.0,0.0,1.0,0
75,6.3e-05,0.413,296,4.63,0.0,0.0,1.0,0.0,1.0,0.0,0
76,0.0,0.867,437,4.29,0.0,0.0,0.0,0.0,0.0,1.0,0
77,2.2e-06,0.485,283,2.76,0.0,0.0,0.0,0.0,1.0,0.0,0
78,3.41e-06,0.84,426,3.79,1.0,0.0,0.0,0.0,0.0,1.0,0
79,1.57e-06,0.41,470,4.08,0.0,0.0,0.0,0.0,1.0,0.0,1
80,3.32e-06,0.567,344,3.11,0.0,0.0,0.0,0.0,1.0,0.0,1
81,3.74e-05,0.606,443,3.39,0.0,0.0,0.0,0.0,0.0,1.0,1
82,0.00124,0.677,473,4.05,1.0,0.0,0.0,0.0,0.0,1.0,1
83,6.83e-05,0.587,411,4.08,0.0,1.0,0.0,0.0,1.0,0.0,1
84,0.0,0.539,381,3.54,0.0,0.0,0.0,0.0,1.0,0.0,1
85,1.97e-05,0.271,259,3.52,0.0,1.0,0.0,0.0,1.0,0.0,1
86,0.00376,0.576,271,3.78,0.0,0.0,0.0,0.0,1.0,0.0,1
87,0.000504,0.676,149,3.41,0.0,0.0,0.0,1.0,1.0,0.0,1
88,0.00121,0.559,575,4.03,0.0,0.0,0.0,0.0,0.0,1.0,1
89,4.29e-05,0.449,501,4.68,0.0,0.0,0.0,0.0,0.0,1.0,1
90,0.0,0.444,376,3.44,0.0,0.0,0.0,0.0,0.0,1.0,1
91,0.0,0.635,298,3.27,0.0,0.0,0.0,0.0,0.0,1.0,1
92,0.0,0.56,328,3.81,0.0,0.0,0.0,0.0,1.0,0.0,1
93,0.141,0.333,350,4.35,0.0,1.0,0.0,0.0,0.0,1.0,1
94,0.000174,0.676,332,3.53,0.0,0.0,0.0,0.0,1.0,0.0,1
95,0.00866,0.365,363,2.99,0.0,0.0,0.0,0.0,1.0,0.0,1
96,0.00102,0.481,359,3.78,0.0,0.0,0.0,0.0,0.0,1.0,1
97,0.00998,0.516,540,3.74,0.0,0.0,0.0,0.0,1.0,0.0,1
98,0.27,0.684,321,3.39,0.0,0.0,0.0,0.0,0.0,1.0,1
99,1.54e-06,0.475,229,3.16,0.0,0.0,0.0,0.0,0.0,1.0,1
100,0.00223,0.192,321,3.67,0.0,0.0,0.0,0.0,1.0,0.0,1
101,8.19e-06,0.649,339,2.85,0.0,0.0,0.0,0.0,1.0,0.0,1
102,0.0,0.557,525,3.84,0.0,0.0,0.0,0.0,0.0,1.0,1
103,2.9e-06,0.788,396,3.51,0.0,1.0,0.0,0.0,1.0,0.0,1
104,0.0,0.66,480,3.62,0.0,1.0,0.0,0.0,0.0,1.0,1
105,0.0,0.401,302,3.53,0.0,1.0,0.0,0.0,1.0,0.0,1
106,0.0,0.214,317,3.76,0.0,1.0,0.0,0.0,1.0,0.0,1
107,3.1e-05,0.309,405,3.21,1.0,0.0,0.0,0.0,0.0,1.0,1
108,0.0,0.804,405,3.41,0.0,0.0,0.0,1.0,0.0,1.0,1
109,0.000514,0.272,222,3.73,0.0,0.0,0.0,1.0,0.0,1.0,1
110,0.0,0.383,418,4.39,0.0,0.0,0.0,0.0,1.0,0.0,1
111,0.0491,0.522,239,3.22,0.0,0.0,0.0,0.0,0.0,1.0,1
112,0.000359,0.949,475,2.83,0.0,0.0,0.0,0.0,0.0,1.0,1
113,0.0,0.942,496,3.89,0.0,0.0,0.0,0.0,1.0,0.0,1
114,1.52e-05,0.545,272,3.69,0.0,0.0,0.0,0.0,1.0,0.0,0
115,0.0,0.363,403,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0
