,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_words,unique_words,duration_min,key_0,key_1,key_2,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_minor,mode_major,time_signature_3,time_signature_4,time_signature_5,class
21,0.444,0.939,-3.824,0.104,0.000645,7.72e-06,0.376,0.575,154.286,215,88,3.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
22,0.42,0.93,-3.416,0.0571,0.0047,0.0,0.0719,0.709,172.124,247,85,3.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
23,0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.452,312,131,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
24,0.494,0.842,-4.784,0.0843,0.00579,0.0,0.122,0.574,162.011,427,103,3.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
25,0.528,0.94,-4.186,0.0588,0.000549,0.0,0.326,0.651,101.588,434,84,3.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
26,0.46,0.933,-3.766,0.0516,0.000811,0.0,0.158,0.523,154.165,209,108,3.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
27,0.468,0.981,-3.295,0.0609,0.000702,0.0,0.124,0.683,186.341,304,84,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
28,0.572,0.907,-3.387,0.0497,0.00637,0.0,0.231,0.557,133.026,403,145,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
29,0.445,0.964,-3.278,0.0803,0.000553,0.0,0.696,0.511,160.153,292,125,3.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
30,0.392,0.956,-3.271,0.0961,0.00159,0.0,0.847,0.644,196.133,356,131,3.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
31,0.538,0.889,-3.586,0.0596,0.00704,0.0,0.312,0.696,133.044,282,115,2.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
32,0.638,0.834,-4.764,0.0497,0.0036,0.0,0.56,0.485,126.044,385,149,3.46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,pre-hiatus
33,0.482,0.963,-3.161,0.0743,0.000633,0.0,0.0959,0.423,131.333,355,116,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
34,0.493,0.936,-3.863,0.0934,0.000696,3.5e-06,0.381,0.558,154.274,215,88,3.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
35,0.432,0.94,-3.393,0.0599,0.00461,0.0,0.0709,0.71,172.132,247,85,3.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
36,0.622,0.957,-3.176,0.131,0.00485,0.0,0.0863,0.517,114.471,312,131,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
37,0.5,0.825,-4.759,0.0774,0.00852,0.0,0.13,0.598,161.925,427,103,3.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
38,0.525,0.931,-4.189,0.0543,0.000581,0.0,0.311,0.674,101.631,434,84,3.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
39,0.455,0.943,-3.784,0.0545,0.000988,0.0,0.125,0.455,154.082,209,108,3.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
40,0.467,0.982,-3.299,0.0659,0.00068,1.05e-06,0.307,0.688,186.343,304,84,3.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
41,0.573,0.899,-3.41,0.047,0.0066,0.0,0.217,0.567,133.001,403,145,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
42,0.441,0.958,-3.316,0.0956,0.000475,0.0,0.666,0.564,160.126,292,125,3.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
43,0.399,0.957,-3.284,0.123,0.00157,0.0,0.845,0.637,196.197,356,131,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
44,0.53,0.883,-3.603,0.0591,0.0064,0.0,0.321,0.704,133.084,282,115,2.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
45,0.638,0.82,-4.749,0.0434,0.00373,0.0,0.701,0.431,126.019,385,149,3.46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,pre-hiatus
46,0.523,0.993,-1.697,0.115,0.00234,0.0,0.294,0.424,103.663,300,106,2.84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
47,0.513,0.985,-3.219,0.135,0.000323,0.0,0.348,0.466,93.008,285,113,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
48,0.678,0.697,-5.032,0.0394,0.0465,0.0,0.07,0.553,122.072,307,154,3.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
49,0.375,0.901,-3.388,0.106,0.00734,1.68e-06,0.315,0.327,178.895,284,140,3.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
50,0.609,0.917,-2.563,0.0477,0.00614,1.96e-05,0.0775,0.67,149.948,276,95,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
51,0.435,0.887,-4.07,0.0636,0.000747,0.0,0.0327,0.408,199.935,336,129,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
52,0.529,0.8,-3.79,0.0318,0.00301,1.17e-05,0.102,0.498,96.81,341,107,3.53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
53,0.466,0.957,-3.302,0.0637,0.00784,0.0,0.48,0.657,183.959,348,135,3.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
54,0.35,0.411,-7.403,0.0275,0.835,0.0017,0.118,0.163,179.68,158,73,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
55,0.459,0.891,-5.057,0.0623,0.00511,0.0,0.106,0.588,154.837,354,145,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
56,0.448,0.949,-2.57,0.0854,0.00136,5.59e-06,0.017,0.863,162.889,283,90,2.87,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
57,0.503,0.911,-4.935,0.0502,0.0052,3.84e-06,0.0714,0.458,141.9,192,75,3.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
58,0.466,0.941,-2.82,0.0497,0.00184,7.9e-06,0.34,0.599,140.765,267,146,3.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
59,0.573,0.949,-3.469,0.0484,0.000251,1.25e-06,0.088,0.69,128.406,246,111,3.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
60,0.407,0.969,-2.908,0.0856,0.000193,0.000113,0.19,0.647,168.891,212,84,3.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
