,total_words,tempo,duration_min,liveness,mode_minor,mode_major,class
121,317,128.072,4.06,0.0482,1.0,0.0,1
122,148,98.707,1.59,0.156,1.0,0.0,1
123,66,199.081,1.05,0.38,1.0,0.0,1
124,197,165.765,1.42,0.855,0.0,1.0,1
125,113,188.035,1.39,0.587,1.0,0.0,1
126,148,130.573,1.75,0.188,0.0,1.0,1
127,122,97.215,1.85,0.922,0.0,1.0,1
128,124,101.104,1.64,0.355,0.0,1.0,1
129,201,98.71,2.7,0.259,0.0,1.0,1
130,216,183.008,3.22,0.0607,0.0,1.0,0
131,370,118.981,4.38,0.125,1.0,0.0,1
132,243,207.185,3.32,0.216,0.0,1.0,1
133,307,119.969,3.37,0.234,0.0,1.0,0
134,211,154.112,2.18,0.0996,0.0,1.0,0
135,196,107.153,2.05,0.114,1.0,0.0,0
136,526,116.011,4.28,0.434,1.0,0.0,0
137,197,152.138,3.37,0.0986,1.0,0.0,0
138,216,91.53,3.22,0.0618,0.0,1.0,0
139,306,155.977,3.1,0.304,1.0,0.0,1
140,685,150.03,4.43,0.168,0.0,1.0,1
